INFO - [08/20 18:54:53] - 
***********Begins test no. 1.
INFO - [08/20 18:54:53] - The projected low rank is 144.
DEBUG - [08/20 18:54:58] - Enter The 1-th iteration of inner loop
DEBUG - [08/20 18:54:58] - Enter The 2-th iteration of inner loop
DEBUG - [08/20 18:54:58] - Enter The 3-th iteration of inner loop
DEBUG - [08/20 18:54:58] - Enter The 4-th iteration of inner loop
DEBUG - [08/20 18:54:58] - Enter The 5-th iteration of inner loop
DEBUG - [08/20 18:54:58] - Enter The 6-th iteration of inner loop
DEBUG - [08/20 18:54:58] - Enter The 7-th iteration of inner loop
DEBUG - [08/20 18:54:59] - Enter The 8-th iteration of inner loop
DEBUG - [08/20 18:54:59] - Enter The 9-th iteration of inner loop
DEBUG - [08/20 18:54:59] - Enter The 10-th iteration of inner loop
DEBUG - [08/20 18:54:59] - Enter The 11-th iteration of inner loop
DEBUG - [08/20 18:54:59] - Enter The 12-th iteration of inner loop
DEBUG - [08/20 18:54:59] - Enter The 13-th iteration of inner loop
DEBUG - [08/20 18:54:59] - Enter The 14-th iteration of inner loop
DEBUG - [08/20 18:54:59] - Enter The 15-th iteration of inner loop
DEBUG - [08/20 18:54:59] - Enter The 16-th iteration of inner loop
DEBUG - [08/20 18:54:59] - Enter The 17-th iteration of inner loop
DEBUG - [08/20 18:54:59] - Enter The 18-th iteration of inner loop
DEBUG - [08/20 18:54:59] - Enter The 19-th iteration of inner loop
DEBUG - [08/20 18:54:59] - Enter The 20-th iteration of inner loop
DEBUG - [08/20 18:54:59] - Enter The 21-th iteration of inner loop
DEBUG - [08/20 18:54:59] - Enter The 22-th iteration of inner loop
DEBUG - [08/20 18:54:59] - Enter The 23-th iteration of inner loop
DEBUG - [08/20 18:54:59] - Enter The 24-th iteration of inner loop
DEBUG - [08/20 18:54:59] - Enter The 25-th iteration of inner loop
DEBUG - [08/20 18:54:59] - Enter The 26-th iteration of inner loop
DEBUG - [08/20 18:54:59] - Enter The 27-th iteration of inner loop
DEBUG - [08/20 18:54:59] - Enter The 28-th iteration of inner loop
DEBUG - [08/20 18:55:00] - Enter The 29-th iteration of inner loop
DEBUG - [08/20 18:55:00] - Enter The 30-th iteration of inner loop
DEBUG - [08/20 18:55:00] - Enter The 1-th iteration of inner loop
DEBUG - [08/20 18:55:00] - Enter The 2-th iteration of inner loop
DEBUG - [08/20 18:55:00] - Enter The 3-th iteration of inner loop
DEBUG - [08/20 18:55:00] - Enter The 4-th iteration of inner loop
DEBUG - [08/20 18:55:00] - Enter The 5-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 6-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 7-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 8-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 9-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 10-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 11-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 12-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 13-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 14-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 15-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 16-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 17-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 18-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 19-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 20-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 21-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 22-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 23-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 24-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 25-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 26-th iteration of inner loop
DEBUG - [08/20 18:55:01] - Enter The 27-th iteration of inner loop
DEBUG - [08/20 18:55:02] - Enter The 28-th iteration of inner loop
DEBUG - [08/20 18:55:02] - Enter The 29-th iteration of inner loop
DEBUG - [08/20 18:55:02] - Enter The 30-th iteration of inner loop
